nquest,pesofit,y,riscons2
625983,.61425388,56151.648,0
626189,1.3526185,7980.9956,50
626240,1.1859381,20412.463,0
626259,1.6595181,34618.328,60
626310,.20716719,39269.098,50
626312,.18832493,15620.03,10
626361,.18797168,23487.697,30
626641,1.2092764,10790,100
626680,1.2962636,10561.04,50
626851,1.1269323,80286.695,100
626868,.73294109,13600.89,50
627067,.735641,27376.318,0
627314,.43205142,55460.578,50
627479,.25241119,18800,50
628418,.64879423,44209.957,100
629458,.29632446,14600,0
629478,.19220145,54340.316,0
629488,.19220145,30600,100
629828,.27786198,20647.281,25
629984,.54734212,16140,100
630345,.72547299,21300.463,50
630650,.73865086,25236.652,0
630858,.32083178,28364.279,0
631016,.28908119,58720.691,30
631306,.60275197,16007.33,0
631431,.6340766,52499.918,0
631712,.69453567,69119.281,0
631954,.27854234,17969.607,100
632099,1.0035769,20901.992,50
632118,.76088357,41313.328,0
633412,.79875171,47823.688,100
633458,.66598254,54375.922,0
633654,.30494893,39117.289,50
633941,.67634642,17800,40
634144,.99024135,28602.039,90
634442,.31902778,57177.027,30
634732,1.1000808,56804.98,0
635007,.25912887,23538.086,0
635112,.70154881,41408.43,100
635346,1.8944312,62222.461,50
635513,.47150046,5400,60
635514,.27271676,17402.783,70
636206,1.7555195,22103.666,50
636237,5.8621454,27670,50
636289,1.5080742,45132.816,55
636305,2.2023757,55616.859,85
636401,1.8430403,20600,0
636407,1.8285686,16250,100
636418,1.8430403,15610,0
637242,.23056987,15460,30
637619,.77949876,30469.357,50
637701,.30183533,48103.664,50
637711,.21131399,19200,60
637869,2.2116485,20604.461,100
638250,.32598329,24573.463,100
638339,2.0193315,39235.523,0
638360,.45684254,55699.566,100
638395,.9964751,60683.266,100
639013,.67128843,15930,60
639331,1.9859889,85440.211,50
639502,1.9645518,64736.242,0
639575,.26396054,17768.705,50
639924,.68390107,25505.004,20
639971,2.2976179,32267.809,100
640164,.24036159,61377.496,0
640212,.32531935,46789.484,0
640790,.68170309,21775.615,0
640821,1.0114475,130016.73,0
640837,.6439864,41484.516,0
640864,1.8838882,12808.664,100
640954,.20974346,32415.441,35
641084,.31232291,16110,100
641624,.30737758,35618.879,50
641628,.42875561,54220.953,50
648534,.38689697,25200,100
648636,1.4820651,46081.633,70
648863,.17128649,20063.561,60
649032,.95443296,47121.992,100
649054,2.8522794,32484.301,50
649071,1.0164177,17918.326,40
649089,2.5843725,38983.824,0
649391,4.7059879,16372.571,20
650027,.52128947,36307.332,50
650048,.57269055,21803.666,0
650079,.65309417,6501.2227,20
650091,1.6498547,22845.273,30
670338,.83503467,29421.074,50
670362,1.7592658,20460,0
670485,2.0101452,11600,0
670652,.4665519,21636.652,50
670670,.206939,20418.326,50
670698,.1479996,20660.238,50
670711,.72960299,36981.137,100
670762,1.8903124,10980,0
670853,.19431913,20007.666,100
670857,.35321531,20410.996,60
671105,.21246864,8451.4658,0
671136,1.1411635,18431.154,80
671149,.2651943,49058.875,40
671152,5.8621454,59933.496,100
671153,2.9741011,40160.816,30
671200,.71191877,25938.326,0
671206,.6719296,60913.848,100
671296,.30701625,10553.201,100
671300,.50034994,9903.665,100
671362,.63070065,36401.223,0
671480,3.8145976,23018.346,50
671520,.7391119,30320.43,50
671582,.63505566,39708.781,30
671698,1.7305847,39635.297,0
671733,.30436027,34336.652,60
671739,.417274,60800,90
671838,.38021618,20441.584,60
671841,.8750602,89297.273,0
671893,.41685614,27106.23,75
671904,1.6397153,33431.43,85
671909,3.9254811,37127.926,80
672063,.29140821,37811.523,50
672065,.16654977,29919.566,50
672142,.61579674,19600,0
672351,.30525705,38128.285,0
672417,.66989684,30843.262,0
672430,.2521849,13202.199,50
672486,.33793738,23444.979,30
672541,1.2524145,56273.262,50
672580,2.1014733,21417.662,30
672620,.35756251,35811.563,50
672679,1.5080742,47079.387,50
672854,.44005653,10440.037,0
672985,.66672325,71174.883,100
673050,.63505566,35056.371,0
673051,1.7256457,16269.482,50
673145,.8836537,40446.816,50
673378,.60873473,61183.18,90
673419,3.6321323,22532.068,50
673421,3.2568641,39000.039,50
673423,3.6321323,13003.94,50
673424,3.3728189,25001.832,50
673451,.69462979,74790.18,50
673452,1.1147305,27518.326,50
673454,.84438854,131475.14,60
673467,.86493516,24018.326,50
673540,1.4543053,20591.277,50
673570,.15460052,18536.652,70
673661,.21921661,60580.617,30
673748,2.8650284,45968.559,10
673816,.27011546,26980.229,75
673828,.27011546,27804.182,50
673847,.42601228,12003.665,90
673858,.73301446,33815.629,70
673882,.37019014,47107.332,70
673963,.33150819,27829.24,0
673970,.31230459,23668.199,80
674019,3.7968254,18493.986,100
674063,.33822373,29440.615,50
674105,1.9201481,16006.231,100
674106,1.9922484,20525.656,50
674196,.76325119,44252.539,0
674226,.31975222,82626.25,50
674229,.19431868,33760,50
674237,.36714467,12718.326,80
674239,.54845339,44118.324,0
674272,.40932232,194630.09,0
674281,.18604285,20131,60
674283,.15621008,18472.047,60
674287,.19816548,22421.422,40
674361,.51574081,40890.586,50
674379,2.8742037,18506.326,100
674440,1.0523193,33287.285,0
674489,.87577683,23857.648,0
674542,.45879009,23975.498,0
674572,.28866085,12404.661,0
674613,.51126742,77284.641,0
674686,1.3283406,85340.539,0
674768,1.2291651,42718.59,50
674781,1.8250166,32775.453,30
674800,.20985028,26473.305,30
674815,2.5241644,47152.254,0
674817,1.0452814,45192.273,60
674842,2.3982246,36224.699,80
674868,2.3216853,27268.594,60
674869,1.8564515,55763.609,0
674968,2.0516067,37471.828,0
674970,1.9867165,15103.665,50
674974,1.3358202,14313.305,100
675086,.80211574,51364.645,50
675132,4.9134512,44723.305,50
675265,1.3283406,51836.652,0
675280,2.6357608,43329.875,70
675334,2.3180428,24510.82,50
675645,.80077034,20148.264,50
675656,.51878309,38473.031,40
675667,.95674074,17900,0
675739,.35221878,24082.918,100
675801,.67505813,56146.609,0
675905,1.8183622,38255.453,100
675906,.36136615,39730,50
675953,1.2733566,61596.352,0
675977,.3254748,3600,100
675983,.2550897,16903.666,100
676000,1.067099,82042.188,80
676030,.75296164,57481.984,25
676060,.40013281,28902.279,50
676259,1.3378593,10750,30
676304,1.8857718,13650,0
676359,2.1844804,12505.269,0
676374,.53112984,56141.734,50
676391,.80645078,15927.489,0
676521,.23220186,50131.539,100
676557,.80183184,24651.832,100
676580,1.6723241,16405.865,20
676670,.36742646,24914.27,0
676772,.30461919,25220.158,0
676807,.88977551,8490,0
676844,1.0005631,11440,20
676851,.55029923,16038.442,10
676941,.81232989,8811,100
676981,.76986802,86369.414,100
677112,.62129915,30145.912,60
677124,.21955392,18079.164,0
677130,.20779638,37363.609,0
677167,.56899947,52238.957,0
677176,2.4416726,93219.336,0
677195,.19299757,114297.41,0
677220,.24181631,27556.965,60
677277,.56937659,40883.258,100
677280,1.4872737,78144.18,0
677287,1.6825072,5525.6567,0
677339,.35090643,33009.266,0
677386,3.2840319,35362.309,50
